,name,category,chain,chains,currentChainTvls
375,SwapMatic,Dexes,Polygon,['Polygon'],{'Polygon': 2424.99044}
376,Paladin Finance,Lending,Ethereum,['Ethereum'],{'Ethereum': 1519641.28838}
377,Reserve,CDP,Ethereum,['Ethereum'],"{'Ethereum': 7919584.56696, 'Ethereum-staking': 2199814.24769, 'staking': 2199814.24769}"
378,Float,Derivatives,Polygon,['Polygon'],"{'Avalanche': 17321.80027, 'Polygon': 151040.39182}"
379,Huckleberry AMM,Dexes,Moonriver,['Moonriver'],"{'Moonriver-staking': 47001.49786, 'Moonriver': 297635.84556, 'CLV': 31433.49188, 'staking': 47001.49786}"
380,Market,Lending,Polygon,['Polygon'],"{'Fantom-borrowed': 1082785.87741, 'Polygon': 533791.83826, 'Polygon-borrowed': 100033.40037, 'borrowed': 1182819.27778, 'Fantom': -203600.2101}"
381,MojitoSwap,Dexes,Kucoin,['KCC'],"{'KCC-staking': 4327428.69695, 'KCC': 31622523.50839, 'staking': 4327428.69695}"
382,Augmented Finance,Lending,Ethereum,['BSC'],"{'BSC-borrowed': 16951.18195, 'Gnosis-borrowed': 8793.75325, 'BSC': 25287.99112, 'Ethereum': 20625.04632, 'Gnosis': 1363.26145, 'Avalanche': 20932.79316, 'Ethereum-borrowed': 47418.36616, 'borrowed': 104872.97855, 'Avalanche-borrowed': 31709.67719}"
383,Geist Finance,Lending,Fantom,['Fantom'],"{'pool2': 1043622.96554, 'Fantom-staking': 8090802.61423, 'Fantom-borrowed': 21878239.66979, 'borrowed': 21878239.66979, 'Fantom-pool2': 1043622.96554, 'Fantom': 45559257.91417, 'staking': 8090802.61423}"
384,LatteSwap,Dexes,Binance,['BSC'],"{'BSC': 63050.71678, 'BSC-staking': 0, 'staking': 0}"
385,UniFi,Dexes,Binance,['IoTeX'],"{'OntologyEVM': 51.47408, 'Icon': 225607.95428, 'Ontology': 151618.42484, 'Harmony': 110208.42594, 'Bittorrent': 4.10367, 'BSC': 50746.76518, 'IoTeX': 3351431.08892, 'Ethereum': 4495.10835, 'Avalanche': 3134.70503, 'Ethereum-staking': 1944325.45114, 'Polygon': 3755.48837, 'Tron': 1374592.2404, 'Fantom': 99.27808, 'staking': 1944325.45114}"
386,Jet,Lending,Solana,['Solana'],"{'Solana-borrowed': 147917.90615, 'Solana': 363091.87233, 'borrowed': 147917.90615}"
387,Alkemi,Lending,Ethereum,['Ethereum'],{'Ethereum': 343627.22647}
388,EmiSwap,Dexes,Ethereum,['Shiden'],"{'KCC': 33475.60992, 'Ethereum': 35037.3294, 'Aurora': 0.01301, 'Astar': 133.6953, 'Shiden': 198888.37506, 'Avalanche': 2.01037, 'Ethereum-staking': 0, 'Polygon': 28507.34983, 'staking': 0}"
389,Atrix,Dexes,Solana,['Solana'],{}
390,Beethoven X,Dexes,Fantom,['Fantom'],"{'Optimism': 41773476.06461, 'Fantom': 47274875.60419}"
391,Trava Finance,Lending,Binance,['BSC'],"{'BSC': 281095.22395, 'Fantom': 26406.0898}"
392,HurricaneSwap,Dexes,Avalanche,['Avalanche'],"{'Avalanche': 237692.71922, 'Avalanche-staking': 118260.18421, 'staking': 118260.18421}"
393,OrcaDAO,Lending,Avalanche,['Avalanche'],"{'pool2': 10190.11098, 'Avalanche-treasury': 14382.88354, 'Avalanche': 28996.71554, 'Avalanche-staking': 724.14438, 'borrowed': 17842.64586, 'Avalanche-pool2': 10190.11098, 'treasury': 14382.88354, 'staking': 724.14438, 'Avalanche-borrowed': 17842.64586}"
394,Elephantdex,Dexes,Harmony,['Harmony'],{'Harmony': 3912.3969}
395,Mars Ecosystem,CDP,Binance,['BSC'],"{'BSC': 2314745.68945, 'BSC-staking': 522779.95746, 'staking': 522779.95746}"
396,Shield,Options,Binance,['BSC'],{'BSC': 90551.44928}
397,CarbonSwap,Dexes,EnergyWeb,['EnergyWeb'],{'EnergyWeb': 587174.36583}
398,Aavegotchi,Gaming,Ethereum,['Polygon'],"{'pool2': 610642.6513, 'Polygon-pool2': 610642.6513, 'Ethereum': 276378.89105, 'Polygon': 2112183.15773, 'Polygon-staking': 2463224.68292, 'staking': 2463224.68292}"
399,RskSwap,Dexes,RSK,['Rootstock'],{'Rootstock': 75945.67082}
400,SheepDex,Dexes,Binance,['BSC'],{'BSC': 211295.16733}
401,Dark Matter,Farm,Fantom,['Fantom'],"{'pool2': 8336.39227, 'Fantom-staking': 10814.89618, 'Fantom-pool2': 8336.39227, 'staking': 10814.89618, 'Fantom': 41315.85137}"
402,Phoenix Finance,Options,Polygon,['BSC'],"{'BSC': 35841.85624, 'Wanchain': 3921.06176, 'Polygon': 18887.21788}"
403,JSwap,Dexes,OKExChain,['OKExChain'],{'OKExChain': 877879.11545}
404,Tinyman,Dexes,Algorand,['Algorand'],{'Algorand': 10333596.69285}
405,Koala Defi,Farm,Binance,['BSC'],"{'pool2': 2765.93637, 'Polygon-pool2': 171.94703, 'BSC-pool2': 2593.98934, 'BSC': 11719.97777, 'BSC-staking': 1381.5637, 'Polygon': 1146.0438, 'Polygon-staking': 148.1584, 'staking': 1529.7221}"
406,GoSwap,Dexes,GoChain,['GoChain'],{'GoChain': 16642.31877}
407,Kalata,Synthetics,Binance,['BSC'],"{'BSC': 7121.33501, 'BSC-staking': 0, 'staking': 0}"
408,Klima DAO,Reserve Currency,Polygon,['Polygon'],"{'Polygon': 45330213.77273, 'Polygon-staking': 20510311.47175, 'staking': 20510311.47175}"
409,MonoX,Dexes,Ethereum,['Polygon'],"{'Ethereum': 386.97442, 'Polygon': 11519.11944}"
410,Dinosaur Eggs,Dexes,Binance,['BSC'],{'BSC': 645087.9329}
411,Agave,Lending,xDai,['Gnosis'],"{'Gnosis': 11451887.31053, 'Gnosis-borrowed': 1274071.30828, 'borrowed': 1274071.30828, 'staking': 236527.03649, 'Gnosis-staking': 236527.03649}"
412,Cook Finance,Indexes,Ethereum,['BSC'],"{'pool2': 94293.42642, 'Heco-staking': 280.10539, 'BSC-pool2': 0, 'Ethereum-pool2': 74126.24527, 'BSC': 121678.36717, 'Ethereum': 15905.54531, 'BSC-staking': 24406.38148, 'Avalanche': 27833.31901, 'Avalanche-staking': 6.84643, 'Ethereum-staking': 24465.25939, 'Heco-pool2': 4255.05306, 'Avalanche-pool2': 15912.1281, 'staking': 49158.59269}"
413,Polly Finance,Indexes,Polygon,['Polygon'],"{'Polygon': 124229.22345, 'pool2': 46137.89211, 'Polygon-pool2': 46137.89211}"
414,Yield Protocol,Lending,Ethereum,['Arbitrum'],"{'Ethereum': 959962.32387, 'Arbitrum': 1605570.10712}"
415,Poof Cash,Lending,Celo,['Celo'],{'Celo': 192767.48506}
416,Behodler,Dexes,Ethereum,['Ethereum'],{'Ethereum': 78927.30161}
417,Coffin Finance,Algo-Stables,Fantom,['Fantom'],"{'Fantom-staking': 11647.83579, 'staking': 11647.83579, 'Fantom': 89495.03377}"
418,TTswap,Dexes,ThunderCore,['ThunderCore'],{'ThunderCore': 1550212.84898}
419,LuaSwap,Dexes,Ethereum,['Ethereum'],"{'TomoChain': 623414.08541, 'Ethereum': 820703.49517}"
420,Squid-Defi,Farm,Fantom,['Fantom'],"{'pool2': 40.24826, 'Fantom-staking': 0, 'Fantom-pool2': 40.24826, 'staking': 0, 'Fantom': 1015.45874}"
421,Polymarket,Prediction Market,Polygon,['Polygon'],{'Polygon': 5510083.90337}
422,Voltage,Dexes,Fuse,['Fuse'],"{'Fuse-borrowed': 6005208.28207, 'Fuse-staking': 105175.73126, 'borrowed': 6005208.28207, 'Fuse': 1243021.98051, 'staking': 105175.73126}"
423,handle.fi,CDP,Arbitrum,['Arbitrum'],"{'pool2': 1194.81521, 'Arbitrum': 233726.33733, 'Arbitrum-pool2': 1194.81521}"
424,AnchorSwap,Dexes,Binance,['BSC'],"{'BSC': 132466.33183, 'BSC-staking': 261251.1027, 'staking': 261251.1027}"
425,Alium Swap,Dexes,Binance,['BSC'],"{'BSC': 25410.8813, 'BSC-staking': 22753.96498, 'staking': 22753.96498}"
426,Mycelium Perpetual Pools,Derivatives,Arbitrum,['Arbitrum'],{'Arbitrum': 496048.57982}
427,BiShares,Indexes,Fantom,['BSC'],"{'BSC': 13117.67149, 'Fantom': 871.01665}"
428,DefiPlaza,Dexes,Ethereum,['Ethereum'],{'Ethereum': 638651.07192}
429,Exodia,Reserve Currency,Fantom,['Fantom'],"{'Fantom-staking': 0, 'staking': 0, 'Fantom': 418.72399}"
430,Synthetify,Dexes,Solana,['Solana'],{'Solana': 432612.60413}
431,Neku,Lending,Arbitrum,['Moonriver'],"{'Arbitrum-borrowed': 251630.98572, 'Moonriver': 241268.31049, 'BSC-borrowed': 5446.92374, 'Moonriver-borrowed': 204070.23175, 'BSC': 15886.98256, 'Arbitrum': 120087.90043, 'borrowed': 461148.14121}"
432,JustLend,Lending,Tron,['Tron'],"{'Tron-borrowed': 106142226.22256, 'Tron': 3625731683.91267, 'borrowed': 106142226.22256}"
433,Stabilize,CDP,Avalanche,['Avalanche'],"{'Avalanche': 34614.62855, 'Avalanche-staking': 1744.92156, 'pool2': 1778.45582, 'Avalanche-pool2': 1778.45582, 'staking': 1744.92156}"
434,OpenSwap,Dexes,Harmony,['Harmony'],{'Harmony': 22630.28811}
435,BecoSwap,Dexes,Kardia,['Kardia'],"{'Kardia-staking': 124505.19664, 'Kardia': 150059.71523, 'staking': 124505.19664}"
436,Dino.Exchange,Dexes,Binance,['BSC'],"{'BSC': 3816.33573, 'BSC-staking': 0, 'staking': 0}"
437,Defi Halal,CDP,Polygon,['Polygon'],{'Polygon': 244.13671}
438,Aldrin,Dexes,Solana,['Solana'],"{'Solana-staking': 714641.10394, 'Solana': 1458821.41984, 'staking': 714641.10394}"
439,Dopex,Options,Ethereum,['Arbitrum'],"{'pool2': 554094.62246, 'Arbitrum-staking': 146060.92683, 'Ethereum-pool2': 38846.51008, 'BSC': 686.89428, 'Ethereum': 0, 'Avalanche': 256.215, 'Arbitrum': 30781891.78299, 'Arbitrum-pool2': 515248.11238, 'staking': 146060.92683}"
440,Tranquil Finance,Lending,Harmony,['Harmony'],"{'Harmony-pool2': 13713.52487, 'pool2': 13713.52487, 'Harmony-staking': 8184.60872, 'Harmony': 1134848.47892, 'Harmony-borrowed': 942178.47405, 'borrowed': 942178.47405, 'staking': 8184.60872}"
441,Atlantis Loans,Lending,Binance,['BSC'],"{'Dogechain-borrowed': 27874.34478, 'pool2': 22314.28909, 'Polygon-borrowed': 41164.68986, 'BSC-borrowed': 1677647.35185, 'BSC-pool2': 22314.28909, 'BSC': 2034854.65382, 'Dogechain': 18039.31979, 'BSC-staking': 5286.96644, 'Avalanche': 6401.17789, 'Polygon': 66365.09026, 'borrowed': 1751513.34101, 'staking': 5286.96644, 'Avalanche-borrowed': 4826.95451}"
442,MuesliSwap,Dexes,smartBCH,['Cardano'],"{'Milkomeda C1': 495095.62515, 'Cardano-staking': 1474558.32047, 'smartBCH': 8010.68884, 'smartBCH-staking': 1347.76955, 'Cardano': 7654272.0028, 'staking': 1475906.09001}"
443,MistSwap,Dexes,smartBCH,['smartBCH'],"{'smartBCH-staking': 0, 'smartBCH': 761300.29022, 'staking': 0}"
444,BenSwap,Dexes,smartBCH,['BSC'],"{'BSC': 109444.43694, 'smartBCH-staking': 626579.73252, 'BSC-staking': 223105.10133, 'smartBCH': 2683081.90777, 'staking': 849684.83385}"
445,BossSwap,Dexes,Harmony,['Harmony'],{'Harmony': 24830.82814}
446,Angle,CDP,Ethereum,['Ethereum'],"{'Optimism': 19899.0376, 'Ethereum': 46537746.86238, 'Avalanche': 13.40869, 'Ethereum-staking': 3807721.1003, 'Polygon': 80792.53407, 'Arbitrum': 229691.37109, 'staking': 3807721.1003}"
447,Spartacus,Reserve Currency,Fantom,['Fantom'],"{'Fantom-staking': 477843.44412, 'staking': 477843.44412, 'Fantom': 23255924.57751}"
448,Katana DEX,Dexes,Ronin,['Ronin'],{'Ronin': 82959974.18182}
449,Apricot Finance,Lending,Solana,['Solana'],{'Solana': 1415081.66998}
450,Trisolaris,Dexes,Aurora,['Aurora'],{'Aurora': 6177419.54223}
451,Houses of Rome,Reserve Currency,Moonriver,['Moonriver'],"{'Moonriver-staking': 2077158.25024, 'Moonriver': 0.34975, 'staking': 2077158.25024}"
452,EggTartSwap,Dexes,Harmony,['Harmony'],{'Harmony': 218.21888}
453,LootSwap,Dexes,Harmony,['Harmony'],{'Harmony': 35531.52913}
454,Bridge Mutual,Insurance,Ethereum,['Ethereum'],"{'BSC': 9733.64677, 'Ethereum': 389164.68264, 'BSC-staking': 0, 'Ethereum-staking': 271017.8264, 'Polygon': 6006.62017, 'Polygon-staking': 0, 'staking': 271017.8264}"
455,Fantohm,Reserve Currency,Fantom,['Fantom'],"{'Moonriver': 67516.70745, 'Fantom-staking': 1333075.06342, 'Moonriver-staking': 14332.44364, 'BSC': 0, 'Boba': 0, 'Ethereum': 498198.13957, 'Fantom': 16994707.19596, 'staking': 1347407.50706}"
456,Pinyottas,NFT Marketplace,Ethereum,['Ethereum'],{'Ethereum': 2215.15234}
457,OolongSwap,Dexes,Boba,['Boba'],{'Boba': 1029763.48536}
458,SenpaiSwap,Reserve Currency,Boba,['Boba'],"{'Boba': 382.57113, 'Boba-staking': 29959.88888, 'staking': 29959.88888}"
459,Entropyfi,Prediction Market,Polygon,['Polygon'],"{'Polygon': 7839.92223, 'pool2': 2104.54301, 'Polygon-pool2': 2104.54301}"
460,Adena Finance,Dexes,Harmony,['Harmony'],{'Harmony': 265.00121}
461,Rubicon,Dexes,Optimism,['Optimism'],{'Optimism': 1873947.24652}
462,SquidDao,Reserve Currency,Ethereum,['Ethereum'],"{'Ethereum': 0, 'Ethereum-staking': 0, 'staking': 0}"
463,Snowbank,Reserve Currency,Avalanche,['Avalanche'],"{'Avalanche': 0, 'Avalanche-staking': 2272482.48343, 'staking': 2272482.48343}"
464,Glide Finance,Dexes,Elastos,['Elastos'],"{'Elastos': 784721.81404, 'Elastos-staking': 84547.17881, 'staking': 84547.17881}"
465,Blizz Finance,Lending,Avalanche,['Avalanche'],"{'Avalanche': 0, 'borrowed': 0, 'Avalanche-borrowed': 0}"
466,xSigma,Dexes,Ethereum,['Ethereum'],"{'Ethereum': 355183.26555, 'pool2': 33465.63321, 'Ethereum-staking': 9539.28771, 'staking': 9539.28771, 'Ethereum-pool2': 33465.63321}"
467,Loop Finance,Dexes,Terra,['Terra Classic'],{'Terra Classic': 167485.61888}
468,PureSwap,Dexes,Binance,['BSC'],{'BSC': 300129.23812}
469,Helios Prime,Indexes,Ethereum,['Ethereum'],{'Ethereum': 2415.7381}
470,TomoFinance,CDP,TomoChain,['TomoChain'],{'TomoChain': 444.772}
471,FODL Finance,Options,Ethereum,['Ethereum'],"{'pool2': 385284.32816, 'Polygon-pool2': 0, 'Ethereum-pool2': 385284.32816, 'BSC': 4533.59233, 'Ethereum': 393216.05501, 'Ethereum-staking': 373635.80763, 'Polygon': 13807.53627, 'staking': 373635.80763}"
472,Euphoria,Reserve Currency,Harmony,['Harmony'],"{'Harmony-staking': 29779.0802, 'Harmony': 0.02933, 'staking': 29779.0802}"
473,MinMax Finance,Dexes,IoTeX,['IoTeX'],{'IoTeX': 125315.28733}
474,Crodex,Dexes,Cronos,['Cronos'],{'Cronos': 1177408.92963}
475,Revest Finance,NFT Lending,Ethereum,['Ethereum'],"{'Ethereum': 1164946.38307, 'Avalanche': 10.33926, 'Polygon': 557.22165, 'Ethereum-staking': 926352.77928, 'staking': 926352.77928, 'Fantom': 62918.10135}"
476,EmpireDEX,Dexes,Binance,['BSC'],"{'Empire': 356874.20529, 'Kava': 901.9636, 'Cronos': 409415.11669, 'BSC': 1081816.91379, 'Ethereum': 60639.0921, 'Gnosis': 46304.59639, 'Avalanche': 49100.04845, 'Polygon': 86924.61409, 'Fantom': 136203.00373}"
477,VVS Finance,Dexes,Cronos,['Cronos'],{'Cronos': 196220636.60838}
478,Hector Network,Dexes,Fantom,['Fantom'],"{'BSC': 466341.31343, 'Ethereum': 4691650.03366, 'Fantom-staking': 3013720.08952, 'staking': 3013720.08952, 'Fantom': 19520309.00369}"
479,ZoomSwap,Farm,IoTeX,['IoTeX'],"{'IoTeX': 2309257.40353, 'pool2': 86639.1067, 'IoTeX-staking': 26601.94981, 'IoTeX-pool2': 86639.1067, 'staking': 26601.94981}"
480,BSCStation,Dexes,Binance,['BSC'],"{'BSC': 13187.85515, 'BSC-staking': 9513.88878, 'staking': 9513.88878}"
481,CronaSwap,Dexes,Cronos,['Cronos'],"{'Cronos': 858694.43667, 'Cronos-staking': 51690.65754, 'staking': 51690.65754}"
482,ArenaSwap,Dexes,Binance,['BSC'],"{'BSC': 17980.63316, 'BSC-staking': 12394.45608, 'staking': 12394.45608}"
483,Nemesis DAO,Reserve Currency,Binance,['BSC'],"{'BSC': 0.44699, 'BSC-staking': 449023.84751, 'staking': 449023.84751}"
484,Horizon Protocol,Derivatives,Binance,['BSC'],"{'BSC': 5508446.86619, 'BSC-staking': 44669.03482, 'pool2': 0, 'BSC-pool2': 0, 'staking': 44669.03482}"
485,Standard Protocol,Dexes,Shiden,['Metis'],"{'Metis': 102986.99517, 'Ethereum': 47587.45929, 'Shiden': 82206.81013}"
486,Component,Dexes,Ethereum,['Ethereum'],"{'BSC': 161465.74011, 'Ethereum': 232895.40497, 'Gnosis': 31954.66404, 'Ethereum-staking': 0, 'staking': 0}"
487,Hades Swap,Dexes,Polis,['Polis'],{'Polis': 12991.23148}
488,BunnyPark,Dexes,Binance,['BSC'],"{'BSC': 135078.60761, 'BSC-staking': 16915.44416, 'staking': 16915.44416}"
489,SWAPP,Dexes,Cronos,['Cronos'],{'Cronos': 21159.64101}
490,Suterusu,Services,Ethereum,['BSC'],"{'BSC': 93748.90415, 'Ethereum': 2304.4894}"
491,Unirex Finance,Farm,Fantom,['Fantom'],"{'pool2': 12.26709, 'Fantom-staking': 0, 'Fantom-pool2': 12.26709, 'staking': 0, 'Fantom': 1047.86499}"
492,ZYXSwap,Dexes,ZYX,['ZYX'],{'ZYX': 157715.9735}
493,Axial,Dexes,Avalanche,['Avalanche'],"{'Avalanche': 2256685.77695, 'pool2': 17866.51793, 'Avalanche-pool2': 17866.51793}"
494,KLend,Lending,Binance,['BSC'],"{'OKExChain': 37004.29103, 'pool2': 3353.8139, 'BSC-borrowed': 12014.26109, 'BSC-pool2': 1730.92465, 'BSC': 47679.97411, 'borrowed': 76539.43081, 'OKExChain-borrowed': 64525.16973, 'OKExChain-pool2': 1622.88925}"
495,PhotonSwap Finance,Dexes,Cronos,['Cronos'],"{'Kava': 840.49339, 'Cronos': 232261.26931, 'Evmos': 8.72648}"
496,Talent Protocol,Services,Celo,['Celo'],{'Celo': 0.00837}
497,Demeter,Lending,Heco,['BSC'],"{'BSC': 278922.1319, 'Heco': 37453.24782}"
498,Alchemix,Synthetics,Ethereum,['Ethereum'],"{'Optimism': 364775.19686, 'Ethereum': 49696544.48621, 'Ethereum-staking': 8006623.18192, 'staking': 8006623.18192, 'Fantom': 103347.48182}"
499,AxeDAO,Reserve Currency,Ethereum,['Ethereum'],"{'Ethereum': 0, 'Ethereum-staking': 0, 'staking': 0}"
500,xExchange,Dexes,Elrond,['MultiversX'],"{'MultiversX-staking': 67406063.32691, 'MultiversX': 74358380.25672, 'staking': 67406063.32691}"
501,Risq Protocol,Options,Binance,['BSC'],{'BSC': 416.3467}
502,AliensFarm,Dexes,Tezos,['Tezos'],{'Tezos': 1744.06632}
503,Babylon Finance,Indexes,Ethereum,['Ethereum'],"{'Ethereum': 144871.71933, 'Ethereum-staking': 2.47936, 'staking': 2.47936}"
504,Piggybank DAO,Reserve Currency,Avalanche,['Avalanche'],"{'Avalanche': 0, 'Avalanche-staking': 26827.17492, 'staking': 26827.17492}"
505,Snowdog,Reserve Currency,Avalanche,['Avalanche'],"{'Avalanche': 0.29171, 'Avalanche-staking': 0, 'staking': 0}"
506,Yoshi Exchange,Dexes,Fantom,['Fantom'],"{'BSC': 553035.19404, 'Fantom': 7644669.6114}"
507,Reverse,Reserve Currency,Harmony,['Harmony'],"{'Harmony-staking': 0, 'Harmony': 0, 'staking': 0}"
508,GIBXSwap,Dexes,Binance,['BSC'],"{'BSC': 501953.2429, 'BSC-staking': 237998.34346, 'staking': 237998.34346}"
509,MintSwap,Services,Avalanche,['Avalanche'],{'Avalanche': 1475.76234}
510,BSCSwap,Dexes,Binance,['BSC'],"{'BSC': 2660901.32447, 'BSC-staking': 0, 'staking': 0}"
511,Unilend,Lending,Ethereum,['Polygon'],"{'BSC': 276.62776, 'Ethereum': 310333.07965, 'Polygon': 406279.49721}"
512,DeerFi,Lending,Ethereum,['Ethereum'],{'Ethereum': 494.51007}
513,SafeOHM,Reserve Currency,Binance,['BSC'],"{'BSC': 0, 'BSC-staking': 0, 'staking': 0}"
514,LumenSwap,Dexes,Stellar,['Stellar'],{'Stellar': 6126981.84}
515,SmartDEX,Dexes,Polygon,['Polygon'],{'Polygon': 287839.47844}
516,CorgiSwap,Dexes,Binance,['BSC'],"{'BSC': 23416.1023, 'BSC-staking': 32000.09501, 'staking': 32000.09501}"
517,FLRX,Dexes,Songbird,['Songbird'],{'Songbird': 2215061.51517}
518,1BCH,Dexes,SmartBCH,['smartBCH'],"{'smartBCH-staking': 2071.20116, 'smartBCH': 10913.97548, 'staking': 2071.20116}"
519,SwapperChan,Dexes,Boba,['Boba'],{'Boba': 23043.31549}
520,Jade Protocol,Reserve Currency,Binance,['Ethereum'],{'Ethereum': 0}
521,MooniSwap,Dexes,Ethereum,['Ethereum'],{'Ethereum': 432652.83536}
522,8ightDAO,Reserve Currency,Harmony,['Harmony'],"{'Harmony-staking': 0, 'Harmony': 0, 'staking': 0}"
523,OneDAO Finance,Reserve Currency,Harmony,['Harmony'],"{'Harmony-staking': 0, 'Harmony': 0.00229, 'staking': 0}"
524,SmolSwap,Dexes,Cronos,['Cronos'],"{'Cronos': 2771.83619, 'Cronos-staking': 206.51291, 'staking': 206.51291}"
525,BeGlobal Finance,Dexes,Binance,['BSC'],"{'BSC': 12320.78835, 'BSC-staking': 0, 'staking': 0}"
526,KwikSwap,Dexes,Ethereum,['Ethereum'],"{'Shiden-staking': 0, 'BSC': 6765.1184, 'Ethereum': 50050.05447, 'Shiden': 12286.74316, 'Ethereum-staking': 0, 'Polygon': 13858.9482, 'Polygon-staking': 0, 'staking': 0}"
527,Kimochi,Services,Binance,['BSC'],"{'BSC': 2404.03414, 'BSC-staking': 0, 'pool2': 568.68377, 'BSC-pool2': 568.68377, 'staking': 0}"
528,HSwap,Dexes,Heco,['Heco'],{'Heco': 44163.50561}
529,MiniSwap,Dexes,Ethereum,['Ethereum'],{'Ethereum': 110864.31315}
530,Typhoon Cash,Privacy,Ethereum,['Ethereum'],{'Ethereum': 30208.32}
531,TangoSwap,Dexes,SmartBCH,['smartBCH'],"{'smartBCH-staking': 61801.282, 'smartBCH': 805630.322, 'staking': 61801.282}"
532,CyborgSwap,Dexes,Cronos,['Cronos'],"{'Cronos': 65576.35961, 'Cronos-staking': 7930.93451, 'staking': 7930.93451}"
533,Lobis,Reserve Currency,Ethereum,['Ethereum'],"{'Ethereum': 0, 'Ethereum-staking': 0, 'staking': 0}"
534,DEUS Finance,CDP,Ethereum,['Fantom'],"{'Ethereum': 6447.37734, 'Polygon': 0, 'Fantom': 2070006.55076}"
535,Fortune DAO,Reserve Currency,Cronos,['Cronos'],"{'Cronos': 15929.31931, 'Cronos-staking': 14568.71185, 'staking': 14568.71185}"
536,Mesher,Lending,Klaytn,['Ethereum'],"{'Ethereum': 1248510.0299, 'Ethereum-staking': 0, 'Klaytn': 343626.97914, 'staking': 0}"
537,Impossible Finance,Launchpad,Binance,['BSC'],"{'Kava': 1.50934, 'OKExChain': 1080.66167, 'Moonbeam': 0.00018, 'BSC': 683486.05703, 'Boba': 0.08885, 'Aurora': 35877.61528, 'BSC-staking': 399925.62552, 'Avalanche': 4.70624, 'staking': 399925.62552}"
538,Kronos DAO,Reserve Currency,Klaytn,['Klaytn'],"{'Klaytn-staking': 543969.04648, 'Klaytn': 0.03294, 'staking': 543969.04648}"
539,SumSwap,Dexes,Ethereum,['Ethereum'],{'Ethereum': 61341.26037}
540,FLRLoans,CDP,Songbird,['Songbird'],{'Songbird': 2722.64107}
541,VampireSwap,Dexes,Fantom,['Fantom'],"{'Fantom-staking': 15.79656, 'staking': 15.79656, 'Fantom': 957.22477}"
542,Definix,Dexes,Binance,['BSC'],"{'BSC': 1670143.669, 'Klaytn': 1177033.59391}"
543,Pika Protocol,Derivatives,Optimism,['Optimism'],{'Optimism': 13390551.08778}
544,Klondike Finance,Synthetics,Ethereum,['Ethereum'],"{'Ethereum': 19223.1433, 'pool2': 134251.934, 'Ethereum-staking': 0, 'staking': 0, 'Ethereum-pool2': 134251.934}"
545,Platypus Finance,Dexes,Avalanche,['Avalanche'],"{'Avalanche': 35227133.87499, 'Avalanche-staking': 2383220.36381, 'staking': 2383220.36381}"
546,ChargeDeFi,Algo-Stables,Binance,['BSC'],"{'BSC': 3044.62176, 'BSC-staking': 3248.02786, 'pool2': 14454.80322, 'BSC-pool2': 14454.80322, 'staking': 3248.02786}"
547,DAO Maker Vesting,Services,Ethereum,['Step'],"{'Celo-staking': 0, 'Fantom-staking': 0, 'Step': 0, 'Polygon-vesting': 368347.06572, 'Fantom-vesting': 4947.00966, 'BSC': 0, 'Ethereum': 0, 'BSC-staking': 0, 'vesting': 25473322.903, 'Ethereum-staking': 128177334.96255, 'Celo': 0, 'Celo-vesting': 15052.89724, 'BSC-vesting': 5637689.00188, 'Fantom': 0, 'staking': 128177334.96255, 'Step-vesting': 6553210.55772, 'Ethereum-vesting': 12894076.37078, 'Step-staking': 0, 'Polygon': 0, 'Polygon-staking': 0}"
548,LeonicornSwap,Dexes,Binance,['BSC'],"{'BSC': 30638.05997, 'BSC-staking': 0, 'staking': 0}"
549,Oddz,Options,Binance,['Avalanche'],"{'pool2': 106624.12869, 'BSC-pool2': 53312.06434, 'BSC': 6.37663, 'BSC-staking': 24287.26752, 'Avalanche': 142861.85259, 'Avalanche-staking': 8072.24312, 'Avalanche-pool2': 53312.06434, 'staking': 32359.51064}"
550,Metaversepro,Reserve Currency,Binance,['BSC'],"{'BSC': 0, 'BSC-staking': 10246.00313, 'staking': 10246.00313}"
551,Fortress,Reserve Currency,Avalanche,['Avalanche'],"{'Avalanche': 18385.27608, 'Avalanche-staking': 5661.80656, 'staking': 5661.80656}"
552,RaDao,Reserve Currency,Binance,['BSC'],"{'BSC': 0, 'BSC-staking': 131.65682, 'staking': 131.65682}"
553,Maximizer,Reserve Currency,Avalanche,['Avalanche'],"{'Avalanche': 1.15196, 'Avalanche-staking': 0, 'staking': 0}"
554,Xensa,Lending,OKExChain,['OKExChain'],{'OKExChain': 31.53485}
555,Nidhi-Dao,Reserve Currency,Polygon,['Polygon'],{'Polygon': 0}
556,CerberusDAO,Reserve Currency,Ethereum,['Ethereum'],"{'Ethereum': 6528.00024, 'Ethereum-staking': 0, 'staking': 0}"
557,Pidao Finance,Reserve Currency,Binance,['BSC'],"{'BSC': 1.16512, 'BSC-staking': 0, 'staking': 0}"
558,Genesis Finance,Dexes,Cronos,['Cronos'],"{'Cronos': 1409.50896, 'pool2': 22.98568, 'Cronos-pool2': 22.98568, 'Cronos-staking': 0, 'staking': 0}"
559,Manifest,Services,Ethereum,['Ethereum'],"{'Ethereum': 0.12448, 'Ethereum-staking': 0, 'staking': 0}"
560,R U Generous,Reserve Currency,Avalanche,['Avalanche'],"{'Avalanche': 0, 'Avalanche-staking': 793041.63818, 'staking': 793041.63818}"
561,Soda Protocol,Lending,Solana,['Solana'],{'Solana': 1054.7811}
