,name,category,chain,chains,currentChainTvls,currentChainTvls_agg,Tokens
88,Multiplier,Lending,Binance,['BSC'],"{'BSC': 35999.00854, 'Ethereum': 4953.6294, 'BSC-borrowed': 192256.43644, 'borrowed': 192256.43644}",425465.51081999997,"dict_keys(['BSC', 'Ethereum', 'BSC-borrowed', 'borrowed'])"
89,Ruler,Lending,Ethereum,['Ethereum'],{'Ethereum': 0},0.0,dict_keys(['Ethereum'])
90,Big Data Protocol,Staking,Ethereum,['Ethereum'],"{'Ethereum': 365190.0868, 'Ethereum-staking': 1554772.10661, 'staking': 1554772.10661}",3474734.30002,"dict_keys(['Ethereum', 'Ethereum-staking', 'staking'])"
91,MFinance,Staking,Ethereum,['Ethereum'],"{'Ethereum': 45651.53549, 'pool2': 3561.11437, 'Ethereum-staking': 13268.06809, 'staking': 13268.06809, 'Ethereum-pool2': 3561.11437}",79309.90041,"dict_keys(['Ethereum', 'pool2', 'Ethereum-staking', 'staking', 'Ethereum-pool2'])"
92,Nerve,Dexes,Binance,['BSC'],"{'BSC': 1765199.9919, 'BSC-staking': 9171.26064, 'staking': 9171.26064}",1783542.51318,"dict_keys(['BSC', 'BSC-staking', 'staking'])"
93,Saddle Finance,Dexes,Ethereum,['Ethereum'],"{'Optimism': 302918.37769, 'Kava': 19.27036, 'Evmos': 2421.27722, 'Ethereum': 8424851.95067, 'Arbitrum': 1690676.04836, 'Fantom': 251.43616}",10421138.36046,"dict_keys(['Optimism', 'Kava', 'Evmos', 'Ethereum', 'Arbitrum', 'Fantom'])"
94,ViperSwap,Dexes,Harmony,['Harmony'],"{'Harmony-staking': 4590.38754, 'Harmony': 144250.05076, 'staking': 4590.38754}",153430.82584,"dict_keys(['Harmony-staking', 'Harmony', 'staking'])"
95,Superfluid,Payments,Polygon,['Polygon'],"{'Optimism': 42591.66629, 'Gnosis-vesting': 26810.84927, 'Polygon-vesting': 2956813.4197, 'Avalanche-vesting': 0.67309, 'BSC': 5.5397, 'Gnosis': 83310.05662, 'vesting': 3001429.65413, 'Avalanche': 232.21281, 'Polygon': 1372131.3912, 'Arbitrum-vesting': 0, 'Arbitrum': 280765.39395, 'Optimism-vesting': 17803.07665, 'BSC-vesting': 1.63542}",7781895.568830001,"dict_keys(['Optimism', 'Gnosis-vesting', 'Polygon-vesting', 'Avalanche-vesting', 'BSC', 'Gnosis', 'vesting', 'Avalanche', 'Polygon', 'Arbitrum-vesting', 'Arbitrum', 'Optimism-vesting', 'BSC-vesting'])"
96,Goose Finance,Farm,Binance,['BSC'],{'BSC': 1701459.03},1701459.03,dict_keys(['BSC'])
97,MochiSwap,Dexes,Binance,['Harmony'],"{'BSC': 39079.55564, 'BSC-staking': 0, 'Harmony-staking': 0, 'Harmony': 48361.13851, 'staking': 0}",87440.69415,"dict_keys(['BSC', 'BSC-staking', 'Harmony-staking', 'Harmony', 'staking'])"
